feature,importance
is_low_adoption,0.09535977
api_calls_3m_avg,0.07212344
flag_high_support_tickets,0.064121544
is_high_adoption,0.06155521
api_calls,0.06151894
flag_declining_engagement,0.048009984
logins_per_day,0.046444397
logins_trend_3m,0.04606063
feature_adoption_rate,0.044920783
engagement_decay,0.044579916
logins_3m_avg,0.044178292
features_3m_avg,0.043387365
engagement_score,0.043245595
flag_no_login_30days,0.043055676
health_score,0.04244777
recency_score,0.04239571
days_inactive,0.041060977
features_used_count,0.03929261
support_tickets,0.03862545
risk_flag_count,0.03761597
flag_low_feature_adoption,0.0
flag_no_login_60days,0.0
